[1.20974210e-01 8.79025790e-01]
[5.80097907e-02 9.41990209e-01]
[8.14164998e-02 9.18583500e-01]
[9.10662092e-01 8.93379084e-02]
[9.38119556e-01 6.18804444e-02]
[8.72213777e-01 1.27786223e-01]
[9.14594599e-01 8.54054010e-02]
[7.47944422e-02 9.25205558e-01]
[8.34432949e-01 1.65567051e-01]
[9.93892042e-01 6.10795794e-03]
[1.63115962e-01 8.36884038e-01]
[2.87626489e-03 9.97123735e-01]
[4.14138959e-02 9.58586104e-01]
[3.16552029e-06 9.99996834e-01]
[4.14818696e-02 9.58518130e-01]
[2.23633826e-03 9.97763662e-01]
[3.44258645e-01 6.55741355e-01]
[4.03857536e-02 9.59614246e-01]
[3.58748270e-01 6.41251730e-01]
[1.54820646e-01 8.45179354e-01]
[7.37562716e-01 2.62437284e-01]
[9.81307589e-02 9.01869241e-01]
[8.77673886e-01 1.22326114e-01]
[3.97950963e-02 9.60204904e-01]
[5.44830203e-03 9.94551698e-01]
[4.51896092e-06 9.99995481e-01]
[9.95947560e-01 4.05243984e-03]
[2.66522058e-01 7.33477942e-01]
[9.72109963e-01 2.78900365e-02]
[8.38017720e-01 1.61982280e-01]
[1.71287860e-01 8.28712140e-01]
[8.75310114e-01 1.24689886e-01]
[9.28621100e-01 7.13789001e-02]
[4.72471808e-02 9.52752819e-01]
[8.82991175e-01 1.17008825e-01]
[2.90867973e-01 7.09132027e-01]
[8.22404072e-01 1.77595928e-01]
[4.49294924e-01 5.50705076e-01]
[4.57010546e-06 9.99995430e-01]
[8.56545771e-03 9.91434542e-01]
[9.02867847e-01 9.71321528e-02]
[5.32134884e-01 4.67865116e-01]
[8.27774859e-01 1.72225141e-01]
[4.51541301e-04 9.99548459e-01]
[8.35699038e-01 1.64300962e-01]
[8.66480240e-01 1.33519760e-01]
[7.91143107e-03 9.92088569e-01]
[1.23342875e-02 9.87665713e-01]
[3.43813801e-05 9.99965619e-01]
[5.63171736e-01 4.36828264e-01]
[8.24094994e-01 1.75905006e-01]
[8.95359984e-01 1.04640016e-01]
[9.99606794e-01 3.93205761e-04]
[8.95067668e-01 1.04932332e-01]
[1.50797116e-02 9.84920288e-01]
[7.11130372e-01 2.88869628e-01]
[6.34725940e-03 9.93652741e-01]
[9.17991532e-01 8.20084683e-02]
[2.03691242e-02 9.79630876e-01]
[8.07870714e-01 1.92129286e-01]
[2.91293839e-01 7.08706161e-01]
[1.74333599e-01 8.25666401e-01]
[9.99997821e-01 2.17889523e-06]
[9.27318708e-03 9.90726813e-01]
[8.72182148e-01 1.27817852e-01]
[9.99998770e-01 1.22977067e-06]
[9.98728181e-01 1.27181856e-03]
[9.99999052e-01 9.47955594e-07]
[8.82366172e-01 1.17633828e-01]
[7.66608148e-05 9.99923339e-01]
[2.40631316e-03 9.97593687e-01]
[7.93384732e-01 2.06615268e-01]
[8.39785036e-05 9.99916021e-01]
[9.82798701e-01 1.72012994e-02]
[9.33036502e-01 6.69634979e-02]
[9.97845056e-01 2.15494390e-03]
[7.23531577e-01 2.76468423e-01]
[1.65112287e-05 9.99983489e-01]
[9.53132270e-01 4.68677298e-02]
[1.58728253e-09 9.99999998e-01]
[1.85318901e-01 8.14681099e-01]
[9.12327731e-01 8.76722692e-02]
[3.05194575e-02 9.69480543e-01]
[9.08875124e-01 9.11248762e-02]
[5.40948711e-01 4.59051289e-01]
[6.66040705e-01 3.33959295e-01]
[1.34982712e-03 9.98650173e-01]
[9.49005159e-01 5.09948413e-02]
[1.12349429e-02 9.88765057e-01]
[9.11472636e-01 8.85273641e-02]
[9.96019015e-01 3.98098478e-03]
[9.97496131e-01 2.50386916e-03]
[7.76969917e-01 2.23030083e-01]
[7.18045095e-01 2.81954905e-01]
[5.19446638e-01 4.80553362e-01]
[1.78607802e-03 9.98213922e-01]
[9.20940729e-01 7.90592709e-02]
[2.68085011e-01 7.31914989e-01]
[3.50641706e-01 6.49358294e-01]
[8.73037617e-01 1.26962383e-01]
[7.71966112e-01 2.28033888e-01]
[4.65209679e-02 9.53479032e-01]
[5.63929207e-01 4.36070793e-01]
[9.13510096e-01 8.64899044e-02]
[8.17115524e-01 1.82884476e-01]
[2.65881865e-03 9.97341181e-01]
[9.99999695e-01 3.04874308e-07]
[5.18213500e-02 9.48178650e-01]
[1.70434316e-01 8.29565684e-01]
[9.92436737e-01 7.56326329e-03]
[8.18202763e-01 1.81797237e-01]
[9.81343690e-01 1.86563099e-02]
[9.60823559e-05 9.99903918e-01]
[8.03828384e-01 1.96171616e-01]
[7.16172254e-01 2.83827746e-01]
[7.61978428e-02 9.23802157e-01]
[9.68456358e-04 9.99031544e-01]
[4.51915056e-02 9.54808494e-01]
[1.34612377e-02 9.86538762e-01]
[8.59962912e-01 1.40037088e-01]
[9.35673451e-01 6.43265492e-02]
[4.64896798e-01 5.35103202e-01]
[8.65529240e-01 1.34470760e-01]
[7.14949060e-01 2.85050940e-01]
[9.99996738e-01 3.26185777e-06]
[6.59257842e-01 3.40742158e-01]
[9.99550132e-01 4.49868339e-04]
[7.61124072e-01 2.38875928e-01]
[1.55745954e-01 8.44254046e-01]
[3.09430192e-01 6.90569808e-01]
[4.47430726e-03 9.95525693e-01]
[8.94174273e-01 1.05825727e-01]
[2.57366531e-03 9.97426335e-01]
[9.98616588e-01 1.38341174e-03]
[9.99548656e-01 4.51343819e-04]
[2.53282048e-01 7.46717952e-01]
[7.53406160e-01 2.46593840e-01]
[2.20838408e-01 7.79161592e-01]
[6.66536202e-01 3.33463798e-01]
[7.54904072e-03 9.92450959e-01]
[3.50140493e-08 9.99999965e-01]
[9.45354376e-01 5.46456239e-02]
[9.97100473e-01 2.89952713e-03]
[1.98557942e-05 9.99980144e-01]
[9.22672453e-01 7.73275472e-02]
[9.44886033e-01 5.51139671e-02]
[6.97838851e-01 3.02161149e-01]
[3.72958417e-03 9.96270416e-01]
[2.12267139e-01 7.87732861e-01]
