[1.70515870e-01 8.29484130e-01]
[1.22113998e-01 8.77886002e-01]
[8.25456380e-02 9.17454362e-01]
[8.74303035e-01 1.25696965e-01]
[9.36046451e-01 6.39535491e-02]
[8.23493279e-01 1.76506721e-01]
[8.84322747e-01 1.15677253e-01]
[7.86108507e-02 9.21389149e-01]
[8.85389526e-01 1.14610474e-01]
[9.83812416e-01 1.61875844e-02]
[1.44000318e-01 8.55999682e-01]
[1.14444988e-02 9.88555501e-01]
[5.58291723e-02 9.44170828e-01]
[4.16099520e-10 1.00000000e+00]
[4.10639408e-02 9.58936059e-01]
[4.98022471e-03 9.95019775e-01]
[3.41429723e-01 6.58570277e-01]
[5.73754185e-02 9.42624581e-01]
[3.37149122e-01 6.62850878e-01]
[3.52539660e-01 6.47460340e-01]
[6.97534142e-01 3.02465858e-01]
[1.56299414e-01 8.43700586e-01]
[8.52646477e-01 1.47353523e-01]
[5.74705351e-02 9.42529465e-01]
[8.03536212e-03 9.91964638e-01]
[5.12338430e-10 9.99999999e-01]
[9.86362136e-01 1.36378644e-02]
[2.89677039e-01 7.10322961e-01]
[9.62511749e-01 3.74882514e-02]
[8.41821629e-01 1.58178371e-01]
[2.39142476e-01 7.60857524e-01]
[8.27542684e-01 1.72457316e-01]
[8.31586676e-01 1.68413324e-01]
[5.93317703e-02 9.40668230e-01]
[8.39939036e-01 1.60060964e-01]
[2.50323314e-01 7.49676686e-01]
[7.83450776e-01 2.16549224e-01]
[4.72697427e-01 5.27302573e-01]
[3.22443442e-09 9.99999997e-01]
[1.75330357e-02 9.82466964e-01]
[7.60930552e-01 2.39069448e-01]
[4.77947018e-01 5.22052982e-01]
[7.91976494e-01 2.08023506e-01]
[4.79069411e-01 5.20930589e-01]
[8.19009629e-01 1.80990371e-01]
[8.21517347e-01 1.78482653e-01]
[1.34274517e-02 9.86572548e-01]
[3.87650028e-02 9.61234997e-01]
[5.25803598e-03 9.94741964e-01]
[5.44112638e-01 4.55887362e-01]
[7.71428703e-01 2.28571297e-01]
[8.69937236e-01 1.30062764e-01]
[9.99483517e-01 5.16482938e-04]
[8.67635735e-01 1.32364265e-01]
[3.52275177e-02 9.64772482e-01]
