[7.90596008e-04 9.99209404e-01]
[1.21961832e-02 9.87803817e-01]
[4.14317846e-03 9.95856822e-01]
[9.88497853e-01 1.15021681e-02]
[9.68109012e-01 3.18909921e-02]
[9.94862497e-01 5.13747847e-03]
[9.77031231e-01 2.29687486e-02]
[3.12713385e-02 9.68728662e-01]
[2.66551018e-01 7.33448982e-01]
[9.85863626e-01 1.41363889e-02]
[1.32281184e-02 9.86771882e-01]
[1.06781721e-03 9.98932183e-01]
[6.75669611e-01 3.24330389e-01]
[7.66962767e-03 9.92330372e-01]
[4.94722724e-02 9.50527728e-01]
[1.92034245e-03 9.98079658e-01]
[3.15685868e-02 9.68431413e-01]
[7.86781311e-04 9.99213219e-01]
[7.88088441e-02 9.21191156e-01]
[7.13831186e-03 9.92861688e-01]
[9.98835862e-01 1.16411911e-03]
[2.77334452e-03 9.97226655e-01]
[9.87197161e-01 1.28028253e-02]
[5.87224960e-04 9.99412775e-01]
[1.61218643e-03 9.98387814e-01]
[1.59996748e-03 9.98400033e-01]
[9.94426072e-01 5.57392230e-03]
[1.97125673e-02 9.80287433e-01]
[9.93220687e-01 6.77932147e-03]
[9.99140918e-01 8.59054446e-04]
[1.22529268e-03 9.98774707e-01]
[9.96800542e-01 3.19947372e-03]
[8.44499528e-01 1.55500486e-01]
[1.11485481e-01 8.88514519e-01]
[9.96315897e-01 3.68407741e-03]
[2.90125608e-02 9.70987439e-01]
[9.94810760e-01 5.18925767e-03]
[1.33115530e-01 8.66884470e-01]
[2.48277187e-03 9.97517228e-01]
[1.11037493e-03 9.98889625e-01]
[9.32853997e-01 6.71460181e-02]
[4.50689256e-01 5.49310744e-01]
[9.95899677e-01 4.10032831e-03]
[9.76767182e-01 2.32328065e-02]
[9.96479988e-01 3.52002145e-03]
[5.13741851e-01 4.86258119e-01]
[2.01590061e-02 9.79840994e-01]
[7.49647617e-04 9.99250352e-01]
[1.20767951e-02 9.87923205e-01]
[2.22761452e-01 7.77238548e-01]
[8.40627789e-01 1.59372211e-01]
[9.94492292e-01 5.50770108e-03]
[9.83525991e-01 1.64740309e-02]
[9.91260469e-01 8.73952918e-03]
[1.40873432e-01 8.59126568e-01]
[9.72862363e-01 2.71376409e-02]
[1.20544434e-03 9.98794556e-01]
[9.98935938e-01 1.06405409e-03]
[2.93213129e-03 9.97067869e-01]
[9.96775031e-01 3.22494516e-03]
[9.07301903e-04 9.99092698e-01]
[5.61230063e-01 4.38769966e-01]
[9.98160303e-01 1.83970702e-03]
[5.12838364e-04 9.99487162e-01]
[9.89325941e-01 1.06740464e-02]
[9.98836100e-01 1.16388744e-03]
[9.98101890e-01 1.89810409e-03]
[9.99359846e-01 6.40175072e-04]
[9.97802556e-01 2.19744444e-03]
[1.06222034e-02 9.89377797e-01]
[3.12452912e-02 9.68754709e-01]
[9.96130466e-01 3.86956194e-03]
[9.23007727e-03 9.90769923e-01]
[9.94395375e-01 5.60460938e-03]
[9.97788846e-01 2.21116142e-03]
[9.96241868e-01 3.75811197e-03]
[9.98972833e-01 1.02718186e-03]
[2.48146057e-03 9.97518539e-01]
[9.98172402e-01 1.82761846e-03]
[3.71694565e-04 9.99628305e-01]
[1.72567368e-02 9.82743263e-01]
[9.08047855e-01 9.19521451e-02]
